1. [Sales Rep]  Garrett, hey. This is Josh with Nook's. Happy Friday to you.
13. [Sales Rep]  Okay. Good deal. And so Basically how Nook's helps SDR BDR teams like yours is so we we play nice with Outreach SalesLoft. You're able to integrate Tools in, and so now, like, when I'm when I'm calling folks like you, I'm in I'm in Nook's right now, and so I can call up to 5 people at a time. And so Basically what that means for me is if I have a 100 dials to go through, instead of that taking me an hour, hour and a half, 2 hours, I can get done in about 20 to 40 minutes depending on who's picking up, and so I'm just your reps get a lot more at bats quicker and then they're spending less time doing it, and so they're able to More meetings that way and just get more time back in the day. Something else that's kind of cool too is for coaching purposes is that you're it's all live. We're in a virtual you. You can actually listen to
14. [Prospect]  So
15. [Sales Rep]  to your reps calls live, give live coaching on the call, and feedback and all that. Does that, Garrett, does that sound even remotely interesting or have I totally missed the mark?
16. [Prospect]  I mean, I think so. What what is it let me ask you this. I've always kinda wondered this with these, you know, for the lack of a better term, auto dialers.
17. [Sales Rep]  Yeah. Yeah.
18. [Prospect]  How do you what happens if multiple people answer?
19. [Sales Rep]  That's a great question, and I used to go door to door and so I didn't want Multiple people answering the door at the same time. I had it happen once. What what happens with this man is it goes it literally goes down to the millisecond, And so it's not super common. It's not as common as you'd think, but when it does happen, for whoever picked up that split second Faster. The other person, it's just gonna show up as a dropped call, for the prospect, and then it's nice because once I'm done my calls, it actually shows me, if there was any of those that happened, like if there was any of those drop calls, and then it just gives me the nudge to change the number and give them a callback.
20. [Prospect]  Right, right.
21. [Sales Rep]  So
22. [Prospect]  Yeah. I mean, I I'd be open to looking into it.
23. [Sales Rep]  super. K.
24. [Prospect]  I mean, unfortunately, not today because it's it's already
25. [Sales Rep]  Cool. Yeah. No. No. I it's Friday, man. I'm,
26. [Prospect]  yeah.
27. [Sales Rep]  what what time zone?
28. [Prospect]  Why don't you, I'm in EST.
29. [Sales Rep]  Oh, you're you're ready to you're ready to leave
30. [Prospect]  Right. Right.
31. [Sales Rep]  for the day.
32. [Prospect]  Why don't you, let's see. Can you send me an email with, like, some information? And then Call me back on Monday, pretty much anytime,
33. [Sales Rep]  Mhmm. K. Cool. Let's do that then. Let me,
34. [Prospect]  and then and then we can talk a little fur
35. [Sales Rep]  Yeah. Do you are you open to because I'm happy to send you more information. I can send you, like, a 1 pager. Honestly, like, I don't want to I don't want to blast your inbox with a bunch of information. Would you be opposed if we were just, like, confined 25, 30 minutes when you're And we can just kind of show you the platform, and then from there what's actually pretty cool is that we do 2 free week trials. So if you think that it you know, if you want your team to take it for a test drive, see what it does for your SQLs and efficiency,
36. [Prospect]  Mhmm. Mhmm.
37. [Sales Rep]  you can do that. If you think it's lame, looks, Whatever. Then we don't have to. Does that sound fair if we were to find 25, 30 minutes?
38. [Prospect]  Yeah. I mean, it definitely does. And I, I appreciate your objection handling there. I think, Yeah. I I this is what I'll do, and and I'll be real with you because I do this for a living.
39. [Sales Rep]  Yeah. K.
40. [Prospect]  Send me an email right now if you can,
41. [Sales Rep]  Mhmm. K.
42. [Prospect]  And I'll respond in the next couple hours, likely in the next hour.
43. [Sales Rep]  Okay. Okay. Okay. Sounds good. What what information do you want me to put in an email? Because I've I've I've pulled out I haven't held back, so I've pulled out all my stops of the
44. [Prospect]  Just right. Right. Right. Just send me some basic information. I mean, just even just, like, a link to your website would be good too. Just throw in a link to your website And then just some basic information.
45. [Sales Rep]  stuff
46. [Prospect]  And then just let me take a look at it real quick. I'm actually fixing a hop in the shower because I gotta go to a school football game tonight, but, send it to me, and I'll take a look at it, and then I I will respond. I swear to god I'll respond. I'm not gonna I'm not gonna be the, the guy that tells you to email him and then you never hear from him again. So,
47. [Sales Rep]  Alright, man.
48. [Prospect]  send me the email, and I'll respond, what's the time for Monday? I just need to look at my calendar.
49. [Sales Rep]  Alright. Sales gods are listening right now, Garrett, so you can't let me down.
50. [Prospect]  I hear you. I hear you.
51. [Sales Rep]  Cool, man. K. I will, I'll I'll go ahead and send you that email. I'll give you a calendar link too if you wanted, and we can avoid, like, the the back and forth calendar
52. [Prospect]  Yeah. That'll actually be better. Just give me the calendar link. Yeah. And I'll I'll book something. Mondays are pretty packed for me because I've got 1 on ones with my with my guys. But I'll, I should be there to find 30 minutes. Not a big deal.
53. [Sales Rep]  Okay. Cool, man. Hey. Thank you so much for the time, Garrett, and I hope your team wins tonight,
54. [Prospect]  Alright, man. Appreciate it.
55. [Sales Rep]  whoever you're rooting for. K. Happy Friday. We'll talk to you soon.
56. [Prospect]  Hey.
