1. [Prospect]  Hello.
36. [Sales Rep]  power is just 1 number at a time. It's still letting the AI, you know, log the call tasks in the background while the parallel is gonna call, you know, 5 pros or up to 5 prospects at the same time, about which just, you know, depending on your connect rate, either or can make sense. But, I can tell you too that that like most, you know, we can typically, we're gonna, you know, allow a 2 week to a month free trial. Really show if that ROI is there. I think the price becomes an easier conversation if, say, your your reps hop about and and start booking a lot more meetings.
37. [Prospect]  Sure. Okay. That's good good context. Thank you for that.
38. [Sales Rep]  About yeah. You bet.
39. [Prospect]  Is the how does the pricing structure work?
40. [Sales Rep]  So it's gonna be, annual. It's per month or per rep per month pricing, but billed annually.
41. [Prospect]  Okay. What is the per rep per month?
42. [Sales Rep]  300.
43. [Prospect]  300 per rep
44. [Sales Rep]  About
45. [Prospect]  Current month. And is that for power dialer or parallel?
46. [Sales Rep]  that that's for a full parallel, about full parallel, everything included. The call recording library, virtual sales floor dialer.
47. [Prospect]  Okay. Okay. Well, why don't you send me info over for A month trial. If we if we give it a shot and imagine $3.300
48. [Sales Rep]  About
49. [Prospect]  per rep per month, could either find itself paying off
50. [Sales Rep]  about
51. [Prospect]  or not with the free trial.
52. [Sales Rep]  about Yeah. Yeah.
53. [Prospect]  I will probably wait To do any sort of trial until I can hire 1 more person. I have an open head count right now, so, obviously, I wouldn't wanna waste the trial while I only have One less person. So,
54. [Sales Rep]  About
55. [Prospect]  if you wanna send over some info, I'll probably circle back to you once I have that person in c and ramped. It'll probably be about a month, maybe a month and a half to the point where it makes sense to I don't wanna waste the trial On a time frame where we're just not ready for it, but, yeah, I mean, yeah, seeing is believing, so the trial definitely helps. You guys offering
56. [Sales Rep]  yeah. Yeah. You bet. Is it alright, Brandon? Does it make sense to put, like because typically we do a about, half hour call before the,
57. [Prospect]  that.
58. [Sales Rep]  before the trial. Does it make sense to put a placeholder
59. [Prospect]  I understand.
60. [Sales Rep]  in this month?
61. [Prospect]  Yeah. I understand. Why don't we set That placeholder for, let's just do, like, 3rd week of October, And I'll I'll I'll make time for it. I just wanna make sure I'm have a person in seat And I'm already making progress before I go do the demo.
62. [Sales Rep]  About yeah. You bet. I'll, I'll send the place over just for or placeholder for some time in that 3rd week of October, of course.
63. [Prospect]  It's fine. I'll just I'll just pull it up. Let's do let's do Friday morning on 20th.
64. [Sales Rep]  About Friday.
65. [Prospect]  Could you do, like, a 9 AM PST?
66. [Sales Rep]  9 AM PST. Certainly. Yeah. Let's do 9 AM PST. So about 12 PM EST. About alright. I just sent that over to you.
67. [Prospect]  Is this integrate with HubSpot, or is it on Standalone.
68. [Sales Rep]  Placement. About yeah. So it sounds like the the email sequences call tasks are coming out of sub HubSpot for your team.
69. [Prospect]  How do They are. They are right now. Yeah.
70. [Sales Rep]  Yeah. We integrate directly with HubSpot. So that'll work. HubSpot, SalesLoft, Outreach. Yeah. Yeah. It'll work.
71. [Prospect]  So the we currently have we call out of HubSpot with our we've kinda just put our Zoom number In there, it's like a call forward type deal.
72. [Sales Rep]  About
73. [Prospect]  I imagine the call would still happen the same way. It would just The that that that's I'm jumping ahead of myself. That's that's easy to ask in October, So we can just hit it then.
74. [Sales Rep]  Okay. Yeah. That that might better be a better question for our account executive. But, yeah, we'll, we'll look forward to I'll send you, like, a 1 pager or something,
75. [Prospect]  Cool.
76. [Sales Rep]  that. I'll stay in touch when we get closer too just to make sure that still good timing and everything. But, yeah, best of luck in filling with ramping the new rep.
77. [Prospect]  K. Alright. Thank you.
78. [Sales Rep]  It. Alright. Thanks, Brandon. You take care.
79. [Prospect]  Alright. You too. Bye.
